2026 Competitive Events Schedule:
Always double check with the tournament organizer to verify date and format.
Local/Regional Events:
Regional Championship Qualifiers Season 4 Round 3 (Nov 29-Mar 22)(leading to either US Regional Championship at SCG CON Cincinnati or Washington, DC or both with two qualifications, then Pro Tour Amsterdam) - Standard or Limited:
Jan 2 - Amazing Fantasy Books and Comics - Frankfort, IL - Standard
Feb 21 - GameStorm - Lemont, IL - 2-slot Standard
Feb 21 - Next Level Games - Muncie, IN - Standard
Feb 21 - One Drop Game Shop - Wichita, KS - 2-slot Standard
Feb 21 1pm - CCGPrime - Ionia, MI - Standard
Feb 21 5pm - CCGPrime - Central - Ionia, MI - Standard
Feb 21 - Level Up Games - Hastings, MN - 2-slot Standard
Feb 21 - Dreamers Vault Games - Roseville, MN - Standard
Feb 21 - Game Cafe - Independence, MO - 2-slot Standard
Feb 21 - Mike and Taylor's Card Shop - Wentzville, MO - Standard
Feb 21 - Parallax Computers and Gaming - Bismarck, ND - Standard
Feb 21 - Deck Factory Gaming Center - Lima, OH - Standard
Feb 21 - Better Plays Gaming - Stow, OH - ECL? Limited
Feb 28 - The Castle Games - Seymour, IN - 2-slot Standard
Feb 28 - Game Nut Entertainment - Lawrence, KS - Standard
Feb 28 - Bored Bard Games - Iron Mountain, MI - Standard
Feb 28 - Dreamers Vault Games - St Louis Park, MN - Standard
Feb 28 - Ken's Comic Man - Poplar Bluff, MO - Standard
Feb 28 - Cardboard Horde - Sidney, OH - Standard
Feb 28 - Line Drive Sports Cards - Tiffin, OH - Standard
Mar 1 - Limited Edition - Cedar Falls, IA - Standard
Mar 1 - The Upkeep Games - Canton, MI - Standard
Mar 1 - Playmakers - Rapid City, SD - Standard
Mar 7 - The Castle Games - Bloomington - Ellettsville, IN - 2-slot Standard
Mar 7 - Arena Hobbies - Derby, KS - Standard
Mar 7 - AFK Games - Holt, MI - 2-slot Standard
Mar 7 - Gamer's Gauntlet - Clinton Township, MI - Standard
Mar 7 - Dreamers Vault Games - Minneapolis, MN - Standard
Mar 7 - Level Up Games - Minneapolis, MN - 2-slot Standard
Mar 7 - HobbyTown USA - Lincoln, NE (south) - 2-slot Standard
Mar 7 - JC Hobby - Norfolk, NE - Standard
Mar 7 - Epic Loot Games - Centerville, OH - 2-slot Standard
Mar 7 - North Coast Games - Mentor, OH - Standard
Mar 7 - Freedom Gaming - North Canton, OH - Standard
Mar 7 - d20 Gaming - Eau Claire, WI - Standard
Mar 7 - Misty Mountain Games - Madison, WI - Standard
Mar 8 - The Upkeep Games - Ann Arbor, MI - 2-slot Standard
Mar 8 - 2 Bros & a Box - Stillwater, MN - Standard
Mar 14 - Remis Arcane Exchange - Muscatine, IA - 2-slot Standard
Mar 14 - Evanston Games and Cafe - Evanston, IL - 2-slot Standard
Mar 14 - The Castle Games - Columbus, IN - 2-slot Standard
Mar 14 - The Kingdom: Cards and Games - Kokomo, IN - Standard
Mar 14 - Tier 1 Games - Lafayette, IN - Standard
Mar 14 - Moonshot Games - Noblesville, IN - 2-slot Standard
Mar 14 - One Drop Game Shop - Wichita, KS - 2-slot Standard
Mar 14 - CCGPrime - North - Cedar Springs, MI - Standard
Mar 14 - AFK Games - Holt, MI - 2-slot Standard
Mar 14 - RIW Hobbies - Livonia, MI - Standard
Mar 14 - Dreamers Vault Games - Burnsville, MN - Standard
Mar 14 - Level Up Games - Hastings, MN - 2-slot Standard
Mar 14 - Forge and Fire Gaming - Maryland Heights, MO - Standard
Mar 14 - The Game Shoppe - Bellevue, NE - Standard
Mar 14 - Deck Factory Gaming Center - Lima, OH - Standard
Mar 14 - Line Drive Sports Cards - Tiffin, OH - Standard
Mar 14 - Galaxy Games - Wintersville, OH - 2-slot Standard
Mar 14 - Lookout Games - Spearfish, SD - Standard
Mar 15 - Dreamers Vault Games - South Saint Paul, MN - Standard
Mar 15 - Playmakers - Rapid City, SD - Standard
Mar 20 - Kugelblitz Gaming - Hermann, MO - TMT Limited
Mar 21 10pm - Chupacabra Games - Chicago, IL - TMT Limited
Mar 21 - Next Level Games - Muncie, IN - Standard
Mar 21 - Moonshot Gaming - Plainfield, IN - 2-slot Standard
Mar 21 1pm - CCGPrime - Ionia, MI - Standard
Mar 21 5pm - CCGPrime - Central - Ionia, MI - Standard
Mar 21 - Dreamers Vault Games - Champlin, MN - Standard
Mar 21 - Game Cafe - Independence, MO - 2-slot Standard
Mar 21 - Better Plays Gaming - Stow, OH - Standard
Mar 21 - Galaxy Games - Wintersville, OH - 2-slot Standard
Mar 21 - Dragon's Den - Sioux Falls, SD - Standard
Mar 21 - Izzi's Gym - Sioux Falls, SD - Standard
Mar 21 - Undercity Games - Eau Claire, WI - Standard
Mar 21 - Adventure Games - Oshkosh, WI - 2-slot Standard
Mar 22 - Games King - Sioux City, IA - Standard
Mar 22 - Dice Dojo - Chicago, IL - Standard
Mar 22 - Larry's Game Store - Olathe, KS - Standard
Mar 22 - Dreamers Vault Games - Roseville, MN - Standard
Mar 22 - Level Up Games - St. Paul, MN - 2-slot Standard
NRG Series:
Mar 13-15 - Elmhurst, IL
May 7-10 - Indianapolis, IN
Shoebox:
Mar 13-15 - St. Paul, MN
*Cube tournament - 6 qualifier drafts, then cut to Top 64 and Top 8
*Team Limited 10k - Day 1 sealed, cut to Day 2 Top 4 team draft
*cEDH 10k - Day 1 swiss, cut to Day 2 Top 16
*Pauper 5k
Other Regional Events:
Jan 4 - The Hollow Archive - Cherokee, IA - cEDH Land, Go Black Lotus Invitational (judge promos for Top 4; Intuition, FoW, Imperial Seal, Mox Opal)
Jan 10-11 - The Decatur Deathmatch - Decatur Convention Center - Decatur, IL - CEDH 10k (120-200 players) up to 20k (475+)
Jan 10 - Collective Effort Gaming - Alpena, MI - CEDH Win-an-LED (w/16+ players)
Jan 11 - The Decatur Deathmatch - Decatur Convention Center - Decatur, IL - CEDH Win-a-Cradle
Jan 31 1pm - Mayhem Collectibles - Des Moines, IA - Modern Cash
Feb 1 1pm - Mayhem Collectibles - Des Moines, IA - Premodern Cash
National/International Events:
Pro Tour Lorwyn Eclipsed:
Jan 30-Feb 1, 2026 - Richmond, VA - Standard + ECL Draft - closed to the public
MagicCon Las Vegas:
May 1-3, 2026 - Las Vegas, NV
*Pro Tour Secrets of Strixhaven - Standard + SOS Draft
MagicCon Amsterdam:
July 17-19, 2026 - Amsterdam, Netherlands
*Pro Tour Magic: The Gather | Marvel Super Heroes - Modern + MSH Draft + Top 8 Draft
MagicCon Atlanta:
Nov 13-15, 2026 - Atlanta, GA
*World Championship 32 - Formats TBA
US Regional Championships, Season 4, Round 2 (play either with an RC qualification or both with two; lead to Pro Tour Las Vegas):
Jan 23-25 - Portland, OR - Standard
Feb 20-22 - Milwaukee, WI - Standard
US Regional Championships, Season 4, Round 3 (player either with an RC qualification or both with two; lead to Pro Tour Amsterdam):
May 15-17 - Cincinnati, OH - Standard
June 5-7 - Washington, DC - Standard
US Regional Championships, Season 5, Round 1 (player either with an RC qualification or both with two; lead to Pro Tour #1 2027):
Sept 18-20 - Baltimore, MD - TBA
Oct 9-11 - Los Angeles, CA - TBA
Magic Spotlight Series:
Jan 9-11 - Atlanta, GA - Magic Spotlight: The Avatar - Standard
Jan 9-11 - Lyon, France - Magic Spotlight: The Avatar - Standard
Feb 6-8 - Toronto, Canada - Magic Spotlight: Eclipsed - Lorwyn Eclipsed Limited
Mar 6-8 - Richmond, VA - Magic Spotlight: UB TBA - Standard
May 8-10 - London, England - Magic Spotlight: Secrets - Standard
May 29-31 - Chiba, Japan - Magic Spotlight: Secrets - Standard
June 26-28 - Las Vegas, NV - Magic Spotlight: Marvel Super Heroes - Team Limited
July 24-26 - Brussels, Belgium - Magic Spotlight: Marvel Super Heroes - Team Limited
Aug 28-30 - Brisbane, Australia - Magic Spotlight: The Hobbit - Modern
Sept 4-6 - Dallas/Fort Worth, TX - Magic Spotlight: The Hobbit - Modern
Oct 23-25 - Hartford, CT - Magic Spotlight: Fracture - Standard
Nov 6-8 - Beijing, China - Magic Spotlight: Fracture - Standard
Hunter Burton Memorial Open:
Mar 13-15 - Hurst, TX
Gen Con:
July 30-Aug 2, 2026 - Indianapolis, IN
SCG CON:
Jan 9-11 - Atlanta, GA - Magic Spotlight: The Avatar - Standard
Jan 23-25 - Portland, OR - Regional Championship - Standard
Feb 20-22 - Milwaukee, WI - Regional Championship - Standard
Mar 6-8 - Richmond, VA - Magic Spotlight: UB TBA - Standard
May 15-17 - Cincinnati, OH - Regional Championship - Standard
June 5-7 - Washington, DC - Regional Championship - Standard
June 26-28 - Las Vegas, NV - Magic Spotlight: Marvel Super Heroes - Team Limited
Sept 4-6 - Dallas/Fort Worth, TX - Magic Spotlight: The Hobbit - Modern
Sept 18-20 - Baltimore, MD - Regional Championship - TBA
Oct 9-11 - Los Angeles, CA - Regional Championship - TBA
Oct 23-25 - Hartford, CT - Magic Spotlight: Fracture - Standard
Digital Events:
Arena Championships:
AC 11 - Feb 21-22 - Standard
AC12 - May 23-24 - Historic
AC13 - Oct 24-25 - Standard
Arena Championship Qualifier Weekends:
Jan 10-11 - Pioneer
*Jan 3 bo1 play-in
*Jan 9 bo3 play-in
Feb 7-8 - Standard
*Jan 31 bo1 play-in
*Feb 1 bonus bo1 Sealed play-in
*Feb 6 bo3 play-in
Mar 28-29 - Sealed
*Mar 21 bo1 play-in
*Mar 27 bo3 play-in
Apr 11-12 - Historic
*Apr 4 bo1 play-in
*Apr 10 bo3 play-in
Arena Limited Championship Qualifiers:
TBA

Arena Direct:
TBA

MTGO (Central time):
Dec 30 9am - TLA Limited Super Qualifier
Jan 2 9am - Pioneer Super Qualifier
Jan 3 12pm - Vintage Showcase Challenge
Jan 4 10am - Legacy Showcase Challenge
Jan 11 8am - Standard Showcase Challenge
Jan 16 4pm - Modern Qualifier
Jan 19 9am - TLA Limited Qualifier
Jan 24 3am - Modern Super Qualifier
Jan 25 9am - Vintage Super Qualifier
Jan 30 4pm - ECL Limited Qualifier
Jan 31 3am - ECL Limited Qualifier
Feb 1 9am - Standard Super Qualifier
Feb 6 9am - ECL Limited Qualifier
Feb 7 8am - Standard Showcase Challenge
Feb 8 10am - Vintage Showcase Challenge
Feb 14 10am - Modern Showcase Challenge
Feb 15 9am - Legacy Showcase Challenge
Feb 16 9am - ECL Limited Super Qualifier
Feb 21 9am - Legacy Qualifier
Feb 22 9am - Pauper Qualifier
Mar 1 10am - Modern Showcase Challenge
Mar 8 9am - Legacy Super Qualifier
Mar 14 10am - Vintage Showcase Challenge
Mar 15 10am - Legacy Showcase Challenge
Mar 21 10am - Modern Showcase Challenge
Mar 22 10am - Standard Showcase Challenge
Mar 22-25 - Last Chance Events
Mar 28 10am - Modern Showcase Qualifier
Mar 29 10am - Standard Showcase Qualifier
Apr 4 10am - Vintage Showcase Qualifier
Apr 5 10am - Legacy Showcase Qualifier
Apr 11 9am - MOCS Showcase Open
Apr 12 9am - MOCS Showcase Open
